,move_distances,yearly_moves,income_improvement,qol_improvement,cyclical_moves,time_to_next_move,attachment_level,mean_pInitiate,pConsumat,avg_satisfaction,num_uncertain,avg_move_distance,total_moves,satisfaction_levels,utility_changes,total_satisfaction,total_uncertainty,TimeStepsAwayFromHome,AvgDistanceAwayFromHome,FractionMovesHome,TotalDistanceTraveled,NumReturnsToHome,avg_utility_change,mean_attachment,sd_attachment,attachment_form_rate,attachment_decay_rate,initial_attachment,sd_pInitiate
68,[],270.68,1683.2833335688397,3599.1022965570664,0.0,0.0,0.0,0.5,0.2,8.7386998769152,0.0,17.2801433836975,1353.4,[],[],0.0,0.0,584.0570778273054,0.0,0.5444000000000001,0.0,0.0,-4.253955419443296,0.0,0.5,0.01,0.01,0.2,0.05
69,[],309.84000000000003,-8518.955126881327,8474.91512502071,0.0,0.0,0.0,0.5,0.6,6.337477082949138,0.0,17.847390238733613,1549.2,[],[],0.0,0.0,794.2078528143222,0.0,0.36319999999999997,0.0,0.0,-6.017591337748648,0.0,0.5,0.01,0.01,0.2,0.05
70,[],278.84000000000003,2943.7099691484304,5318.175057721304,0.0,0.0,0.0,0.5,0.2,8.163190329465555,0.0,16.23100910896288,1394.2,[],[],0.0,0.0,596.379378773999,0.0,0.49000000000000005,0.0,0.0,-4.34324448286447,0.0,0.5,0.01,0.01,0.2,0.2
71,[],293.32000000000005,-3103.0765643660934,20499.76928043819,0.0,0.0,0.0,0.5,0.6,6.308157694694107,0.0,17.1713337163846,1466.6,[],[],0.0,0.0,637.4291125306127,0.0,0.438,0.0,0.0,-5.108631515921468,0.0,0.5,0.01,0.01,0.2,0.2
72,[],162.24,-20620.65549958774,15093.228795282854,0.0,0.0,0.0,0.1,0.2,3.2229887942924136,0.0,16.496128179701042,811.2,[],[],0.0,0.0,618.5766121700772,0.0,0.5692,0.0,0.0,-4.308648611509258,0.0,0.5,0.01,0.01,0.8,0.05
73,[],202.44,-3113.243554083544,34412.55785062562,0.0,0.0,0.0,0.1,0.6,2.1258134109966433,0.0,15.171962039853764,1012.2,[],[],0.0,0.0,548.0895654303637,0.0,0.49160000000000004,0.0,0.0,-7.206838492966159,0.0,0.5,0.01,0.01,0.8,0.05
74,[],200.32,3309.4060124286334,17010.022811720562,0.0,0.0,0.0,0.1,0.2,4.08302482567413,0.0,18.008524355370866,1001.6,[],[],0.0,0.0,643.9159109105565,0.0,0.4888,0.0,0.0,-6.03283507331978,0.0,0.5,0.01,0.01,0.8,0.2
75,[],270.47999999999996,689.667806174449,11644.211501106,0.0,0.0,0.0,0.1,0.6,2.884771104031446,0.0,17.815521427748717,1352.4,[],[],0.0,0.0,627.2422565311509,0.0,0.4588,0.0,0.0,-6.086607233070233,0.0,0.5,0.01,0.01,0.8,0.2
76,[],315.8,-3470.0137148006593,4387.293537351979,0.0,0.0,0.0,0.5,0.2,4.973741339418436,0.0,15.851064778491514,1579.0,[],[],0.0,0.0,658.3458142994347,0.0,0.4316,0.0,0.0,-4.569897614002487,0.0,0.5,0.01,0.01,0.8,0.05
77,[],284.16,5342.180554925586,1884.3783395903251,0.0,0.0,0.0,0.5,0.6,5.622053489954782,0.0,16.90101778990456,1420.8,[],[],0.0,0.0,605.6788719157383,0.0,0.476,0.0,0.0,-5.750143853356265,0.0,0.5,0.01,0.01,0.8,0.05
78,[],205.8,1241.5328255546215,7440.22424635562,0.0,0.0,0.0,0.5,0.2,7.575126792881131,0.0,16.78230850662986,1029.0,[],[],0.0,0.0,504.6215753470269,0.0,0.6003999999999999,0.0,0.0,-4.886485793677637,0.0,0.5,0.01,0.01,0.8,0.2
79,[],206.84,445.6344194643194,2031.575804768437,0.0,0.0,0.0,0.5,0.6,6.979544748680493,0.0,15.878147142593502,1034.2,[],[],0.0,0.0,519.9892031531194,0.0,0.6392,0.0,0.0,-4.583776044309058,0.0,0.5,0.01,0.01,0.8,0.2
80,[],176.32,18360.213194433734,11056.206951039672,0.0,0.0,0.0,0.1,0.2,2.6791471099829516,0.0,16.411420511557115,881.6,[],[],0.0,0.0,664.7158889855093,0.0,0.37960000000000005,0.0,0.0,-4.260937218161063,0.0,0.5,0.01,0.05,0.2,0.05
81,[],159.56,-11303.480432325221,8891.10662579379,0.0,0.0,0.0,0.1,0.6,5.120247657979057,0.0,16.86989387940953,797.8,[],[],0.0,0.0,576.1217452166823,0.0,0.5808000000000001,0.0,0.0,-4.322963818388666,0.0,0.5,0.01,0.05,0.2,0.05
82,[],133.04000000000002,16187.07251227551,46013.43139523814,0.0,0.0,0.0,0.1,0.2,3.7475254096615154,0.0,17.192925966364815,665.2,[],[],0.0,0.0,617.7509810720227,0.0,0.5172000000000001,0.0,0.0,-5.9067895290474155,0.0,0.5,0.01,0.05,0.2,0.2
83,[],148.2,-37170.97021336925,15691.399696096652,0.0,0.0,0.0,0.1,0.6,3.4912502322853927,0.0,16.913095464137292,741.0,[],[],0.0,0.0,666.9945957256762,0.0,0.484,0.0,0.0,-4.265056433733934,0.0,0.5,0.01,0.05,0.2,0.2
84,[],280.44,4835.604911499466,15420.698035598984,0.0,0.0,0.0,0.5,0.2,7.399190736165916,0.0,17.172450117032838,1402.2,[],[],0.0,0.0,764.5798134084291,0.0,0.3868,0.0,0.0,-6.895212823548434,0.0,0.5,0.01,0.05,0.2,0.05
85,[],174.84,-2656.7652946388494,10474.76573926785,0.0,0.0,0.0,0.5,0.6,11.321398460807979,0.0,16.487880951777292,874.2,[],[],0.0,0.0,513.6970112253382,0.0,0.5476,0.0,0.0,-4.725945677186724,0.0,0.5,0.01,0.05,0.2,0.05
86,[],281.03999999999996,2095.0201832627945,3736.007084799614,0.0,0.0,0.0,0.5,0.2,7.120321655056012,0.0,18.11604401095957,1405.2,[],[],0.0,0.0,633.6799270003329,0.0,0.5016,0.0,0.0,-3.6622120133780633,0.0,0.5,0.01,0.05,0.2,0.2
87,[],385.88,-757.3518747579128,3960.6178529097006,0.0,0.0,0.0,0.5,0.6,4.697868352287671,0.0,18.35027108486353,1929.4,[],[],0.0,0.0,747.758470617631,0.0,0.39879999999999993,0.0,0.0,-4.656372968320807,0.0,0.5,0.01,0.05,0.2,0.2
88,[],51.71999999999999,-2714.3562789531397,23729.262961318465,0.0,0.0,0.0,0.1,0.2,5.207553068120387,0.0,16.98990981362689,258.6,[],[],0.0,0.0,403.70945415498954,0.0,0.8380000000000001,0.0,0.0,-3.7928436500349556,0.0,0.5,0.01,0.05,0.8,0.05
89,[],140.28,7871.87310174295,12914.355257059817,0.0,0.0,0.0,0.1,0.6,2.9646063187436935,0.0,16.12970309457626,701.4,[],[],0.0,0.0,523.4467559866229,0.0,0.61,0.0,0.0,-5.037180796854434,0.0,0.5,0.01,0.05,0.8,0.05
90,[],118.88,-20082.449748140345,30065.989380989708,0.0,0.0,0.0,0.1,0.2,5.1828198281883875,0.0,19.6995035115472,594.4,[],[],0.0,0.0,688.4163032600924,0.0,0.53,0.0,0.0,-5.309681186725141,0.0,0.5,0.01,0.05,0.8,0.2
